# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.425800000000000125e+02
5.000000000000000000e-01,1.395999999999999943e+02
1.000000000000000000e+00,1.371899999999999977e+02
1.500000000000000000e+00,1.368499999999999943e+02
2.000000000000000000e+00,1.337100000000000080e+02
2.500000000000000000e+00,1.309600000000000080e+02
3.000000000000000000e+00,1.312500000000000000e+02
3.500000000000000000e+00,1.270900000000000034e+02
4.000000000000000000e+00,1.269200000000000017e+02
4.500000000000000000e+00,1.230300000000000011e+02
5.000000000000000000e+00,1.231599999999999966e+02
