# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.385099999999999909e+02
5.000000000000000000e-01,1.369300000000000068e+02
1.000000000000000000e+00,1.350900000000000034e+02
1.500000000000000000e+00,1.312299999999999898e+02
2.000000000000000000e+00,1.306500000000000057e+02
2.500000000000000000e+00,1.273299999999999983e+02
3.000000000000000000e+00,1.262999999999999972e+02
3.500000000000000000e+00,1.243199999999999932e+02
4.000000000000000000e+00,1.209500000000000028e+02
4.500000000000000000e+00,1.195499999999999972e+02
5.000000000000000000e+00,1.187099999999999937e+02
