# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.411800000000000068e+02
5.000000000000000000e-01,1.379300000000000068e+02
1.000000000000000000e+00,1.354199999999999875e+02
1.500000000000000000e+00,1.333700000000000045e+02
2.000000000000000000e+00,1.310399999999999920e+02
2.500000000000000000e+00,1.317100000000000080e+02
3.000000000000000000e+00,1.275000000000000000e+02
3.500000000000000000e+00,1.265799999999999983e+02
4.000000000000000000e+00,1.255300000000000011e+02
4.500000000000000000e+00,1.219200000000000017e+02
5.000000000000000000e+00,1.199899999999999949e+02
