# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.398000000000000114e+02
5.000000000000000000e-01,1.378600000000000136e+02
1.000000000000000000e+00,1.377500000000000000e+02
1.500000000000000000e+00,1.358600000000000136e+02
2.000000000000000000e+00,1.327599999999999909e+02
2.500000000000000000e+00,1.324199999999999875e+02
3.000000000000000000e+00,1.296599999999999966e+02
3.500000000000000000e+00,1.259200000000000017e+02
4.000000000000000000e+00,1.263100000000000023e+02
4.500000000000000000e+00,1.219599999999999937e+02
5.000000000000000000e+00,1.209200000000000017e+02
