# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.416599999999999966e+02
5.000000000000000000e-01,1.397199999999999989e+02
1.000000000000000000e+00,1.377800000000000011e+02
1.500000000000000000e+00,1.373799999999999955e+02
2.000000000000000000e+00,1.358799999999999955e+02
2.500000000000000000e+00,1.339600000000000080e+02
3.000000000000000000e+00,1.299699999999999989e+02
3.500000000000000000e+00,1.290999999999999943e+02
4.000000000000000000e+00,1.270799999999999983e+02
4.500000000000000000e+00,1.250900000000000034e+02
5.000000000000000000e+00,1.213599999999999994e+02
