# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.405000000000000000e+02
5.000000000000000000e-01,1.375399999999999920e+02
1.000000000000000000e+00,1.350099999999999909e+02
1.500000000000000000e+00,1.350300000000000011e+02
2.000000000000000000e+00,1.303499999999999943e+02
2.500000000000000000e+00,1.309099999999999966e+02
3.000000000000000000e+00,1.266899999999999977e+02
3.500000000000000000e+00,1.247699999999999960e+02
4.000000000000000000e+00,1.237600000000000051e+02
4.500000000000000000e+00,1.220600000000000023e+02
5.000000000000000000e+00,1.191500000000000057e+02
