# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.396800000000000068e+02
5.000000000000000000e-01,1.383000000000000114e+02
1.000000000000000000e+00,1.371599999999999966e+02
1.500000000000000000e+00,1.329399999999999977e+02
2.000000000000000000e+00,1.330999999999999943e+02
2.500000000000000000e+00,1.301999999999999886e+02
3.000000000000000000e+00,1.297500000000000000e+02
3.500000000000000000e+00,1.278299999999999983e+02
4.000000000000000000e+00,1.256099999999999994e+02
4.500000000000000000e+00,1.235199999999999960e+02
5.000000000000000000e+00,1.203499999999999943e+02
