# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.372400000000000091e+02
5.000000000000000000e-01,1.342899999999999920e+02
1.000000000000000000e+00,1.329499999999999886e+02
1.500000000000000000e+00,1.313300000000000125e+02
2.000000000000000000e+00,1.281999999999999886e+02
2.500000000000000000e+00,1.260100000000000051e+02
3.000000000000000000e+00,1.245799999999999983e+02
3.500000000000000000e+00,1.230799999999999983e+02
4.000000000000000000e+00,1.212900000000000063e+02
4.500000000000000000e+00,1.182099999999999937e+02
5.000000000000000000e+00,1.181899999999999977e+02
