# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.459000000000000057e+02
5.000000000000000000e-01,1.426399999999999864e+02
1.000000000000000000e+00,1.395300000000000011e+02
1.500000000000000000e+00,1.382500000000000000e+02
2.000000000000000000e+00,1.363499999999999943e+02
2.500000000000000000e+00,1.353100000000000023e+02
3.000000000000000000e+00,1.341299999999999955e+02
3.500000000000000000e+00,1.318400000000000034e+02
4.000000000000000000e+00,1.280399999999999920e+02
4.500000000000000000e+00,1.282100000000000080e+02
5.000000000000000000e+00,1.233499999999999943e+02
