# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.351599999999999966e+02
5.000000000000000000e-01,1.352899999999999920e+02
1.000000000000000000e+00,1.340500000000000114e+02
1.500000000000000000e+00,1.292400000000000091e+02
2.000000000000000000e+00,1.273499999999999943e+02
2.500000000000000000e+00,1.278100000000000023e+02
3.000000000000000000e+00,1.237199999999999989e+02
3.500000000000000000e+00,1.237999999999999972e+02
4.000000000000000000e+00,1.203799999999999955e+02
4.500000000000000000e+00,1.190600000000000023e+02
5.000000000000000000e+00,1.168499999999999943e+02
