# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.441899999999999977e+02
5.000000000000000000e-01,1.425500000000000114e+02
1.000000000000000000e+00,1.405900000000000034e+02
1.500000000000000000e+00,1.397899999999999920e+02
2.000000000000000000e+00,1.370300000000000011e+02
2.500000000000000000e+00,1.352500000000000000e+02
3.000000000000000000e+00,1.321899999999999977e+02
3.500000000000000000e+00,1.308899999999999864e+02
4.000000000000000000e+00,1.282400000000000091e+02
4.500000000000000000e+00,1.259099999999999966e+02
5.000000000000000000e+00,1.255300000000000011e+02
