# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.395000000000000000e+02
5.000000000000000000e-01,1.347800000000000011e+02
1.000000000000000000e+00,1.333700000000000045e+02
1.500000000000000000e+00,1.331999999999999886e+02
2.000000000000000000e+00,1.295399999999999920e+02
2.500000000000000000e+00,1.272399999999999949e+02
3.000000000000000000e+00,1.267199999999999989e+02
3.500000000000000000e+00,1.237600000000000051e+02
4.000000000000000000e+00,1.211299999999999955e+02
4.500000000000000000e+00,1.194800000000000040e+02
5.000000000000000000e+00,1.179300000000000068e+02
