# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.432500000000000000e+02
5.000000000000000000e-01,1.418700000000000045e+02
1.000000000000000000e+00,1.415500000000000114e+02
1.500000000000000000e+00,1.373499999999999943e+02
2.000000000000000000e+00,1.366899999999999977e+02
2.500000000000000000e+00,1.331800000000000068e+02
3.000000000000000000e+00,1.323499999999999943e+02
3.500000000000000000e+00,1.293799999999999955e+02
4.000000000000000000e+00,1.279899999999999949e+02
4.500000000000000000e+00,1.251899999999999977e+02
5.000000000000000000e+00,1.240799999999999983e+02
