# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.410999999999999943e+02
5.000000000000000000e-01,1.391299999999999955e+02
1.000000000000000000e+00,1.354300000000000068e+02
1.500000000000000000e+00,1.342700000000000102e+02
2.000000000000000000e+00,1.320000000000000000e+02
2.500000000000000000e+00,1.301899999999999977e+02
3.000000000000000000e+00,1.292899999999999920e+02
3.500000000000000000e+00,1.252399999999999949e+02
4.000000000000000000e+00,1.234099999999999966e+02
4.500000000000000000e+00,1.211500000000000057e+02
5.000000000000000000e+00,1.203700000000000045e+02
