# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.392299999999999898e+02
5.000000000000000000e-01,1.362700000000000102e+02
1.000000000000000000e+00,1.349399999999999977e+02
1.500000000000000000e+00,1.318199999999999932e+02
2.000000000000000000e+00,1.310999999999999943e+02
2.500000000000000000e+00,1.304499999999999886e+02
3.000000000000000000e+00,1.262300000000000040e+02
3.500000000000000000e+00,1.243199999999999932e+02
4.000000000000000000e+00,1.230000000000000000e+02
4.500000000000000000e+00,1.196599999999999966e+02
5.000000000000000000e+00,1.178900000000000006e+02
