# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.350699999999999932e+02
5.000000000000000000e-01,1.337899999999999920e+02
1.000000000000000000e+00,1.333899999999999864e+02
1.500000000000000000e+00,1.315999999999999943e+02
2.000000000000000000e+00,1.268499999999999943e+02
2.500000000000000000e+00,1.265400000000000063e+02
3.000000000000000000e+00,1.229500000000000028e+02
3.500000000000000000e+00,1.221899999999999977e+02
4.000000000000000000e+00,1.192900000000000063e+02
4.500000000000000000e+00,1.191400000000000006e+02
5.000000000000000000e+00,1.162900000000000063e+02
