# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.373000000000000114e+02
5.000000000000000000e-01,1.365699999999999932e+02
1.000000000000000000e+00,1.359199999999999875e+02
1.500000000000000000e+00,1.335399999999999920e+02
2.000000000000000000e+00,1.310900000000000034e+02
2.500000000000000000e+00,1.292299999999999898e+02
3.000000000000000000e+00,1.273499999999999943e+02
3.500000000000000000e+00,1.231400000000000006e+02
4.000000000000000000e+00,1.212600000000000051e+02
4.500000000000000000e+00,1.215100000000000051e+02
5.000000000000000000e+00,1.176599999999999966e+02
