# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.450000000000000000e+02
5.000000000000000000e-01,1.417299999999999898e+02
1.000000000000000000e+00,1.413100000000000023e+02
1.500000000000000000e+00,1.381699999999999875e+02
2.000000000000000000e+00,1.363499999999999943e+02
2.500000000000000000e+00,1.348199999999999932e+02
3.000000000000000000e+00,1.322599999999999909e+02
3.500000000000000000e+00,1.295999999999999943e+02
4.000000000000000000e+00,1.290800000000000125e+02
4.500000000000000000e+00,1.260199999999999960e+02
5.000000000000000000e+00,1.234099999999999966e+02
